"Cell Potential[V]", "Cell Current[A]"
-1.1299878,  -5.6910292E-5
-1.1318245,  -5.8812117E-5
-1.1339028,  -6.0783105E-5
-1.1357772,  -6.2792844E-5
-1.1379465,  -6.4773357E-5
-1.1397933,  -6.6547117E-5
-1.1414960,  -6.8639745E-5
-1.1437169,  -7.0774867E-5
-1.1456596,  -7.2845963E-5
-1.1476441,  -7.5060009E-5
-1.1497526,  -7.7257297E-5
-1.1515534,  -7.9498436E-5
-1.1538150,  -8.1694416E-5
-1.1559284,  -8.3972271E-5
-1.1577712,  -8.6255082E-5
-1.1598870,  -8.8574842E-5
-1.1616939,  -9.0873884E-5
-1.1637282,  -9.2815306E-5
-1.1656852,  -9.5084246E-5
-1.1674349,  -9.7473999E-5
-1.1696722,  -9.9887863E-5
-1.1716178,  -0.00010224085
-1.1735082,  -0.00010461321
-1.1756826,  -0.00010701392
-1.1775004,  -0.00010948249
-1.1797181,  -0.00011186255
-1.1818276,  -0.00011436153
-1.1835432,  -0.00011675932
-1.1857295,  -0.00011922727
-1.1874638,  -0.00012143733
-1.1894287,  -0.00012370220
-1.1915145,  -0.00012618576
-1.1932215,  -0.00012863684
-1.1955090,  -0.00013115991
-1.1975356,  -0.00013363188
-1.1995170,  -0.00013614476
-1.2016118,  -0.00013863340
-1.2033760,  -0.00014112799
-1.2055566,  -0.00014360239
-1.2077021,  -0.00014614360
-1.2094296,  -0.00014863006
-1.2115277,  -0.00015425209
-1.2132600,  -0.00016719607
-1.2153579,  -0.00016953877
-1.2174706,  -0.00017214563
-1.2192089,  -0.00017460253
-1.2214409,  -0.00017717515
-1.2234357,  -0.00017964957
-1.2253746,  -0.00018219857
-1.2274669,  -0.00018484745
-1.2293246,  -0.00018746551
-1.2315198,  -0.00019002316
-1.2335531,  -0.00019271900
-1.2353043,  -0.00019539519
-1.2372516,  -0.00019724762
-1.2392128,  -0.00020001569
-1.2412386,  -0.00020286014
-1.2433761,  -0.00020539185
-1.2450564,  -0.00020806687
-1.2473478,  -0.00021057533
-1.2493357,  -0.00021324997
-1.2512159,  -0.00021606253
-1.2534004,  -0.00021893724
-1.2551841,  -0.00022135515
-1.2574536,  -0.00022419537
-1.2595469,  -0.00022679543
-1.2610096,  -0.00022913060
-1.2631979,  -0.00023155739
-1.2650827,  -0.00023443262
-1.2671418,  -0.00023726976
-1.2692581,  -0.00023989599
-1.2709927,  -0.00024251180
-1.2732640,  -0.00024541393
-1.2752515,  -0.00024816928
-1.2771408,  -0.00025056822
-1.2792712,  -0.00025336311
-1.2811586,  -0.00025633151
-1.2833765,  -0.00025884564
-1.2852812,  -0.00026129941
-1.2868769,  -0.00026376539
-1.2891099,  -0.00026664533
-1.2910183,  -0.00026945646
-1.2930087,  -0.00027205500
-1.2952029,  -0.00027507224
-1.2969008,  -0.00027783788
-1.2991177,  -0.00028064184
-1.3011777,  -0.00028351215
